ðŸ„ 12:22:30 | CPU:  32% | Media:  30%
ðŸ„ 12:22:33 | CPU:  54% | Media:  32%
ðŸ„ 12:22:36 | CPU:  23% | Media:  30%
ðŸ„ 12:22:39 | CPU:  42% | Media:  30%
ðŸ„ 12:22:42 | CPU:  25% | Media:  30%
ðŸ„ 12:22:45 | CPU:  19% | Media:  28%
ðŸ„ 12:22:49 | CPU:  41% | Media:  29%
ðŸ„ 12:22:52 | CPU:  37% | Media:  31%
ðŸ„ 12:22:55 | CPU:  26% | Media:  32%
ðŸ„ 12:22:58 | CPU:  45% | Media:  34%
ðŸ„ 12:23:01 | CPU:  15% | Media:  33%
ðŸ„ 12:23:04 | CPU:  36% | Media:  31%
ðŸ„ 12:23:07 | CPU:  63% | Media:  35%
ðŸ„ 12:23:11 | CPU:  27% | Media:  33%
ðŸ„ 12:23:14 | CPU:  29% | Media:  34%
ðŸ„ 12:23:17 | CPU:  14% | Media:  33%
ðŸ„ 12:23:20 | CPU:  29% | Media:  32%
ðŸ„ 12:23:23 | CPU:  26% | Media:  31%
ðŸ„ 12:23:26 | CPU:  27% | Media:  31%
ðŸ„ 12:23:29 | CPU:  37% | Media:  30%
ðŸ„ 12:23:33 | CPU:  48% | Media:  34%
ðŸ„ 12:23:36 | CPU:  25% | Media:  32%
ðŸ„ 12:23:39 | CPU:  38% | Media:  30%
ðŸ„ 12:23:42 | CPU:  32% | Media:  30%
ðŸ„ 12:23:45 | CPU:  37% | Media:  31%
ðŸ„ 12:23:48 | CPU:  30% | Media:  33%
ðŸ„ 12:23:51 | CPU:  39% | Media:  34%
ðŸ„ 12:23:55 | CPU:  26% | Media:  34%
ðŸ„ 12:23:58 | CPU:  30% | Media:  34%
ðŸ„ 12:24:01 | CPU:  48% | Media:  35%
ðŸ„ 12:24:04 | CPU:  48% | Media:  35%
ðŸ„ 12:24:07 | CPU:  50% | Media:  38%
ðŸ„ 12:24:10 | CPU:  15% | Media:  36%
ðŸ„ 12:24:13 | CPU:  26% | Media:  35%
ðŸ„ 12:24:17 | CPU:  43% | Media:  36%
ðŸ„ 12:24:20 | CPU:  42% | Media:  37%
ðŸ„ 12:24:23 | CPU:  23% | Media:  35%
ðŸ„ 12:24:26 | CPU:  33% | Media:  36%
ðŸ„ 12:24:29 | CPU:  14% | Media:  34%
ðŸ„ 12:24:32 | CPU:  21% | Media:  32%
ðŸ„ 12:24:35 | CPU:  38% | Media:  30%
ðŸ„ 12:24:39 | CPU:  29% | Media:  28%
ðŸ„ 12:24:42 | CPU:  26% | Media:  30%
ðŸ„ 12:24:45 | CPU:  29% | Media:  30%
ðŸ„ 12:24:48 | CPU:  25% | Media:  28%
ðŸ„ 12:24:51 | CPU:  20% | Media:  26%
ðŸ„ 12:24:54 | CPU:  51% | Media:  29%
ðŸ„ 12:24:57 | CPU:  21% | Media:  27%
ðŸ„ 12:25:01 | CPU:  17% | Media:  28%
ðŸ„ 12:25:04 | CPU:  49% | Media:  30%
ðŸ„ 12:25:07 | CPU:  34% | Media:  30%
ðŸ„ 12:25:10 | CPU:  29% | Media:  30%
ðŸ„ 12:25:13 | CPU:  35% | Media:  31%
ðŸ„ 12:25:16 | CPU:  18% | Media:  30%
ðŸ„ 12:25:20 | CPU:  30% | Media:  30%
ðŸ„ 12:25:23 | CPU:  50% | Media:  33%
ðŸ„ 12:25:26 | CPU:  16% | Media:  30%
ðŸ„ 12:25:29 | CPU:  51% | Media:  33%
ðŸ„ 12:25:32 | CPU:  24% | Media:  34%
ðŸ„ 12:25:35 | CPU:  31% | Media:  32%
ðŸ„ 12:25:38 | CPU:  42% | Media:  33%
ðŸ„ 12:25:42 | CPU:  40% | Media:  34%
ðŸ„ 12:25:45 | CPU:  29% | Media:  33%
ðŸ„ 12:25:48 | CPU:  36% | Media:  35%
ðŸ„ 12:25:51 | CPU:  41% | Media:  36%
ðŸ„ 12:25:54 | CPU:  45% | Media:  36%
ðŸ„ 12:25:57 | CPU:  46% | Media:  38%
ðŸ„ 12:26:00 | CPU:  30% | Media:  36%
ðŸ„ 12:26:03 | CPU:  37% | Media:  38%
ðŸ„ 12:26:06 | CPU:  27% | Media:  37%
ðŸ„ 12:26:10 | CPU:  33% | Media:  36%
ðŸ„ 12:26:13 | CPU:  18% | Media:  34%
ðŸ„ 12:26:16 | CPU:  29% | Media:  34%
ðŸ„ 12:26:19 | CPU:  31% | Media:  34%
ðŸ„ 12:26:22 | CPU:  23% | Media:  32%
ðŸ„ 12:26:25 | CPU:  16% | Media:  29%
ðŸ„ 12:26:28 | CPU:  20% | Media:  26%
ðŸ„ 12:26:32 | CPU:  27% | Media:  26%
ðŸ„ 12:26:35 | CPU:  43% | Media:  27%
ðŸ„ 12:26:38 | CPU:  44% | Media:  28%
ðŸ„ 12:26:41 | CPU:  15% | Media:  27%
ðŸ„ 12:26:44 | CPU:  22% | Media:  27%
ðŸ„ 12:26:47 | CPU:  27% | Media:  27%
ðŸ„ 12:26:51 | CPU:  31% | Media:  27%
ðŸ„ 12:26:54 | CPU:  25% | Media:  27%
ðŸ„ 12:26:57 | CPU:  18% | Media:  27%
ðŸ„ 12:27:00 | CPU:  45% | Media:  30%
ðŸ„ 12:27:03 | CPU:  16% | Media:  29%
ðŸ„ 12:27:06 | CPU:  29% | Media:  27%
ðŸ„ 12:27:09 | CPU:  48% | Media:  28%
ðŸ„ 12:27:12 | CPU:  24% | Media:  28%
ðŸ„ 12:27:16 | CPU:  29% | Media:  29%
ðŸ„ 12:27:19 | CPU:  43% | Media:  31%
ðŸ„ 12:27:22 | CPU:  15% | Media:  29%
ðŸ„ 12:27:25 | CPU:  16% | Media:  28%
ðŸ„ 12:27:28 | CPU:  30% | Media:  30%
ðŸ„ 12:27:31 | CPU:  27% | Media:  28%
ðŸ„ 12:27:34 | CPU:  46% | Media:  31%
ðŸ„ 12:27:38 | CPU:  14% | Media:  29%
ðŸ„ 12:27:41 | CPU:  32% | Media:  28%
ðŸ„ 12:27:44 | CPU:  26% | Media:  28%
ðŸ„ 12:27:47 | CPU:  13% | Media:  26%
ðŸ„ 12:27:50 | CPU:  42% | Media:  26%
ðŸ„ 12:27:53 | CPU:  23% | Media:  27%
ðŸ„ 12:27:56 | CPU:  19% | Media:  27%
ðŸ„ 12:28:00 | CPU:  34% | Media:  28%
ðŸ„ 12:28:03 | CPU:  35% | Media:  28%
ðŸ„ 12:28:06 | CPU:  26% | Media:  26%
ðŸ„ 12:28:09 | CPU:  35% | Media:  28%
ðŸ„ 12:28:12 | CPU:  16% | Media:  27%
ðŸ„ 12:28:15 | CPU:  41% | Media:  28%
ðŸ„ 12:28:19 | CPU:  25% | Media:  30%
ðŸ„ 12:28:22 | CPU:  29% | Media:  28%
ðŸ„ 12:28:25 | CPU:  23% | Media:  28%
ðŸ„ 12:28:28 | CPU:  51% | Media:  32%
ðŸ„ 12:28:31 | CPU:  34% | Media:  32%
ðŸ„ 12:28:34 | CPU:  42% | Media:  32%
ðŸ„ 12:28:37 | CPU:  45% | Media:  34%
ðŸ„ 12:28:41 | CPU:  26% | Media:  33%
ðŸ„ 12:28:44 | CPU:  30% | Media:  35%
ðŸ„ 12:28:47 | CPU:  41% | Media:  35%
ðŸ„ 12:28:50 | CPU:  29% | Media:  35%
ðŸ„ 12:28:53 | CPU:  31% | Media:  35%
ðŸ„ 12:28:56 | CPU:  21% | Media:  35%
ðŸ„ 12:28:59 | CPU:  39% | Media:  34%
ðŸ„ 12:29:03 | CPU:  27% | Media:  33%
ðŸ„ 12:29:06 | CPU:  15% | Media:  30%
ðŸ„ 12:29:09 | CPU:  26% | Media:  28%
ðŸ„ 12:29:12 | CPU:  18% | Media:  28%
ðŸ„ 12:29:15 | CPU:  14% | Media:  26%
ðŸ„ 12:29:18 | CPU:  29% | Media:  25%
ðŸ„ 12:29:21 | CPU:  37% | Media:  26%
ðŸ„ 12:29:25 | CPU:  28% | Media:  25%
ðŸ„ 12:29:28 | CPU:  31% | Media:  26%
ðŸ„ 12:29:31 | CPU:  42% | Media:  27%
ðŸ„ 12:29:34 | CPU:  24% | Media:  26%
ðŸ„ 12:29:37 | CPU:  28% | Media:  28%
ðŸ„ 12:29:40 | CPU:  20% | Media:  27%
ðŸ„ 12:29:43 | CPU:  16% | Media:  27%
ðŸ„ 13:58:12 | CPU: 100% | Media:  36%
ðŸ„ 13:58:18 | CPU: 100% | Media:  43%
[02/15/2026 13:58:21] ACTION: Switched to EQUILIBRADO
ðŸ„ 13:58:25 | CPU: 100% | Media:  49%
ðŸ„ 13:58:29 | CPU: 100% | Media:  56%
ðŸ„ 13:58:33 | CPU: 100% | Media:  63%
ðŸ„ 13:58:36 | CPU: 100% | Media:  69%
ðŸ„ 13:58:39 | CPU: 100% | Media:  76%
ðŸ„ 13:58:42 | CPU: 100% | Media:  84%
[02/15/2026 13:58:42] ACTION: Switched to ALTO DESEMPENHO
ðŸ„ 13:58:45 | CPU:  33% | Media:  85%
ðŸ„ 13:58:49 | CPU:  37% | Media:  87%
ðŸ„ 13:58:52 | CPU:  46% | Media:  82%
ðŸ„ 13:58:55 | CPU:  99% | Media:  82%
ðŸ„ 13:58:58 | CPU:  90% | Media:  80%
ðŸ„ 13:59:01 | CPU:  42% | Media:  75%
[02/15/2026 13:59:03] ACTION: Switched to EQUILIBRADO
ðŸ„ 13:59:12 | CPU: 100% | Media:  75%
ðŸ„ 13:59:16 | CPU:  93% | Media:  74%
ðŸ„ 13:59:20 | CPU:  20% | Media:  66%
ðŸ„ 13:59:23 | CPU:  55% | Media:  62%
ðŸ„ 13:59:26 | CPU:  26% | Media:  61%
ðŸ„ 13:59:29 | CPU:  35% | Media:  61%
ðŸ„ 13:59:32 | CPU:  43% | Media:  60%
ðŸ„ 13:59:35 | CPU:  25% | Media:  53%
ðŸ„ 13:59:38 | CPU:  65% | Media:  50%
ðŸ„ 13:59:41 | CPU:  30% | Media:  49%
ðŸ„ 13:59:44 | CPU:  54% | Media:  45%
ðŸ„ 13:59:47 | CPU:  56% | Media:  41%
ðŸ„ 13:59:50 | CPU:  23% | Media:  41%
ðŸ„ 13:59:54 | CPU:  36% | Media:  39%
[02/15/2026 13:59:54] ACTION: Switched to ECONOMIA DE ENERGIA
ðŸ„ 13:59:57 | CPU:  59% | Media:  43%
[02/15/2026 13:59:58] ACTION: Switched to EQUILIBRADO
ðŸ„ 14:00:01 | CPU:  42% | Media:  43%
ðŸ„ 14:00:04 | CPU:  46% | Media:  44%
ðŸ„ 14:00:07 | CPU:  45% | Media:  46%
ðŸ„ 14:00:10 | CPU:  65% | Media:  46%
ðŸ„ 14:00:14 | CPU:  93% | Media:  52%
ðŸ„ 14:00:17 | CPU: 100% | Media:  56%
ðŸ„ 14:00:20 | CPU: 100% | Media:  61%
ðŸ„ 14:00:24 | CPU:  99% | Media:  68%
ðŸ„ 14:00:27 | CPU:  76% | Media:  72%
ðŸ„ 14:00:30 | CPU:  50% | Media:  72%
ðŸ„ 14:00:33 | CPU:  46% | Media:  72%
ðŸ„ 14:00:36 | CPU:  42% | Media:  72%
ðŸ„ 14:00:39 | CPU:  49% | Media:  72%
ðŸ„ 14:00:42 | CPU:  74% | Media:  73%
ðŸ„ 14:00:45 | CPU:  34% | Media:  67%
ðŸ„ 14:00:48 | CPU:  68% | Media:  64%
ðŸ„ 14:00:51 | CPU:  52% | Media:  59%
ðŸ„ 14:00:54 | CPU:  29% | Media:  52%
ðŸ„ 14:00:58 | CPU:  51% | Media:  50%
ðŸ„ 14:01:01 | CPU:  43% | Media:  49%
ðŸ„ 14:01:04 | CPU:  51% | Media:  49%
ðŸ„ 14:01:07 | CPU:  34% | Media:  48%
ðŸ„ 14:01:10 | CPU:  49% | Media:  48%
ðŸ„ 14:01:13 | CPU:  37% | Media:  45%
ðŸ„ 14:01:16 | CPU:  38% | Media:  45%
ðŸ„ 14:01:19 | CPU:  29% | Media:  41%
ðŸ„ 14:01:22 | CPU:  44% | Media:  40%
ðŸ„ 14:01:25 | CPU:  33% | Media:  41%
ðŸ„ 14:01:28 | CPU:  38% | Media:  40%
ðŸ„ 14:01:32 | CPU:  71% | Media:  42%
ðŸ„ 14:01:35 | CPU:  26% | Media:  40%
ðŸ„ 14:01:38 | CPU:  31% | Media:  40%
ðŸ„ 14:01:41 | CPU:  35% | Media:  38%
[02/15/2026 14:01:41] ACTION: Switched to ECONOMIA DE ENERGIA
ðŸ„ 14:01:44 | CPU:  51% | Media:  40%
[02/15/2026 14:01:44] ACTION: Switched to EQUILIBRADO
ðŸ„ 14:01:48 | CPU:  55% | Media:  41%
